feature_id,hits,n_prompts,mean_activation,context_specificity,token_specificity,context_specificity_vs_baseline,token_specificity_vs_baseline,firing_rate,composite_score
6899,26,10,3.2334982340152445,0.3659290783887551,0.3929065479569021,0.29953308038765647,0.06177061932607325,0.0028917806695584474,0.6680311787750192
5461,68,23,4.098023383056416,0.278627592941498,0.5920758219599953,0.2122315949403994,0.26093989332916645,0.0075631186742297855,1.1555779573591312
3554,43,20,3.8441194767175717,0.2222190488961281,0.5765372505179162,0.15582305089502946,0.2454013218870873,0.004782560338115894,0.8981248045576589
454,23,12,3.1230958648349927,0.21195303588785727,0.35919200790847355,0.14555703788675864,0.028056079277644697,0.0025581136692247805,0.4343257850227378
5814,26,14,4.966278800597558,0.20725842237543607,0.6420040730380385,0.14086242437433744,0.31086814440720967,0.0028917806695584474,1.1573815862042673
6315,103,37,3.775047995511768,0.19821539481686315,0.40855353166169217,0.13181939681576452,0.07741760303086331,0.011455900344789233,0.6082993298620218
6865,65,34,3.228819698553819,0.19723898008288576,0.39491960661879516,0.13084298208178713,0.0637836779879663,0.007229451673896118,0.4974529556215108
3531,277,87,2.5815014890815378,0.1969011819189703,0.3726478727323282,0.13050518391787166,0.04151194410149933,0.03080858636414192,0.3662971169871702
443,574,88,3.615330990183229,0.19470862915491777,0.34547520396014647,0.12831263115381913,0.014339275329317613,0.06384161939717495,0.4472910016906222
6529,63,32,5.055991010060386,0.18560724168366932,0.7180786532801854,0.11921124368257069,0.38694272464935653,0.007007007007007007,1.110163805201501
6145,84,32,3.192562175648553,0.18331955410247147,0.3407765394221273,0.11692355610137284,0.009640610791298465,0.009342676009342675,0.3722794549624861
4266,49,24,3.5575718758057575,0.17865500490134142,0.41360428346334155,0.11225900690024279,0.08246835483251269,0.005449894338783227,0.5404129319455891
2799,11,11,2.16638166254217,0.17800568252636095,0.4442601045379503,0.11160968452526232,0.11312417590712143,0.0012234456678901122,0.35146947706594517
135,30,27,2.4118274172147114,0.17763856493303734,0.5574660302324187,0.11124256693193871,0.22633010160158984,0.00333667000333667,0.45559802887443684
6436,56,25,3.115585046155112,0.17717084856118973,0.32183658147934396,0.11077485056009109,-0.009299347151484894,0.006228450672895117,0.3142690625237985
3194,59,31,3.4723197989544627,0.17644265525984965,0.473701477652104,0.11004665725875101,0.14256554902127516,0.0065621176732287845,0.5889409694032562
1378,35,10,3.195911741256714,0.17601246692199993,0.4698447023604814,0.1096164689209013,0.13870877372965257,0.0038927816705594484,0.5376513247173207
